"","Count_180","idSensore","Year","Month","Count_120"
"183",0,5710,2002,4,5
"184",1,5710,2002,5,10
"185",NA,5710,2002,6,NA
"186",6,5710,2002,7,22
"187",1,5710,2002,8,15
"188",0,5710,2002,9,4
"189",0,5710,2002,10,0
"190",0,5710,2003,4,2
"191",2,5710,2003,5,13
"192",16,5710,2003,6,29
"193",10,5710,2003,7,29
"194",14,5710,2003,8,25
"195",2,5710,2003,9,6
"196",0,5710,2003,10,0
"197",0,5710,2004,4,0
"198",0,5710,2004,5,7
"199",3,5710,2004,6,17
"200",5,5710,2004,7,20
"201",2,5710,2004,8,14
"202",2,5710,2004,9,6
"203",0,5710,2004,10,0
"204",0,5710,2005,4,2
"205",5,5710,2005,5,15
"206",9,5710,2005,6,23
"207",6,5710,2005,7,23
"208",0,5710,2005,8,9
"209",1,5710,2005,9,3
"210",0,5710,2005,10,0
"211",0,5710,2006,4,3
"212",0,5710,2006,5,8
"213",7,5710,2006,6,22
"214",NA,5710,2006,7,NA
"215",0,5710,2006,8,0
"216",1,5710,2006,9,6
"217",0,5710,2006,10,0
"218",NA,5710,2007,4,NA
"219",1,5710,2007,5,12
"220",0,5710,2007,6,7
"221",1,5710,2007,7,7
"222",0,5710,2007,8,2
"223",0,5710,2007,9,0
"224",0,5710,2007,10,0
"225",0,5710,2008,4,0
"226",NA,5710,2008,5,NA
"227",1,5710,2008,6,12
"228",1,5710,2008,7,16
"229",2,5710,2008,8,17
"230",0,5710,2008,9,1
"231",NA,5710,2008,10,NA
"232",0,5710,2009,4,0
"233",1,5710,2009,5,9
"234",5,5710,2009,6,22
"235",NA,5710,2009,7,NA
"236",3,5710,2009,8,21
"237",0,5710,2009,9,0
"238",0,5710,2009,10,0
"239",NA,5710,2010,4,NA
"240",0,5710,2010,5,0
"241",5,5710,2010,6,13
"242",15,5710,2010,7,27
"243",NA,5710,2010,8,NA
"244",0,5710,2010,9,2
"245",0,5710,2010,10,0
"246",0,5710,2011,4,4
"247",NA,5710,2011,5,NA
"248",3,5710,2011,6,8
"249",NA,5710,2011,7,NA
"250",NA,5710,2011,8,NA
"251",0,5710,2011,9,7
"252",0,5710,2011,10,1
"253",NA,5710,2012,4,NA
"254",0,5710,2012,5,10
"255",3,5710,2012,6,13
"256",1,5710,2012,7,24
"257",NA,5710,2012,8,17
"258",0,5710,2012,9,3
"259",0,5710,2012,10,0
"260",0,5710,2013,4,4
"261",0,5710,2013,5,0
"262",5,5710,2013,6,13
"263",12,5710,2013,7,23
"264",NA,5710,2013,8,NA
"265",0,5710,2013,9,5
"266",0,5710,2013,10,0
"267",0,5710,2014,4,0
"268",NA,5710,2014,5,NA
"269",6,5710,2014,6,11
"270",0,5710,2014,7,4
"271",0,5710,2014,8,3
"272",0,5710,2014,9,2
"273",0,5710,2014,10,0
"274",0,5710,2015,4,0
"275",0,5710,2015,5,3
"276",3,5710,2015,6,17
"277",6,5710,2015,7,23
"278",2,5710,2015,8,14
"279",0,5710,2015,9,0
"280",0,5710,2015,10,0
"281",0,5710,2016,4,0
"282",0,5710,2016,5,4
"283",3,5710,2016,6,6
"284",3,5710,2016,7,17
"285",0,5710,2016,8,14
"286",0,5710,2016,9,8
"287",0,5710,2016,10,0
"288",0,5710,2017,4,0
"289",NA,5710,2017,5,NA
"290",2,5710,2017,6,15
"291",0,5710,2017,7,16
"292",4,5710,2017,8,20
"293",0,5710,2017,9,2
"294",NA,5710,2017,10,NA
"295",0,5710,2018,4,4
"296",0,5710,2018,5,3
"297",0,5710,2018,6,14
"298",2,5710,2018,7,26
"299",1,5710,2018,8,19
"300",0,5710,2018,9,7
"301",NA,5710,2018,10,NA
"302",0,5710,2019,4,3
"303",0,5710,2019,5,1
"304",6,5710,2019,6,18
"305",4,5710,2019,7,17
"306",0,5710,2019,8,12
"307",0,5710,2019,9,4
"308",NA,5710,2019,10,NA
"309",0,5710,2020,4,8
"310",0,5710,2020,5,8
"311",0,5710,2020,6,5
"312",NA,5710,2020,7,NA
"313",0,5710,2020,8,17
"314",1,5710,2020,9,12
"315",0,5710,2020,10,0
"316",0,5710,2021,4,3
"317",0,5710,2021,5,0
"318",1,5710,2021,6,12
"319",0,5710,2021,7,14
"320",5,5710,2021,8,13
"321",NA,5710,2021,9,NA
"322",0,5710,2021,10,0
"323",0,5710,2022,4,3
"324",0,5710,2022,5,13
"325",3,5710,2022,6,18
